Rk,Season,Team,Comp,MP,W,D,L,Pts,Pts/MP,Min,Subs,LgRank,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,2024-2025,Arsenal,eng Premier League,38,20,14,4,74,1.95,3420,142,2,69,34,35,56.9,13,34.2,65,2,2,0,59.9,58.4,25.5,26.3,45.3,45.7,7.1,6.6,9.7,0.11,544,0.12,0.37,178,32.7,15.1,10
2,2024-2025,Manchester Utd,eng Premier League,38,11,9,18,42,1.11,3420,161,15,44,54,-10,53.5,10,26.3,38,4,4,0,52.6,49.4,-1.3,-1.3,39.7,35.6,-10.6,-11.4,-10.7,0.1,524,0.07,0.23,168,32.1,17.4,15
3,2024-2025,Southampton,eng Premier League,38,2,6,30,12,0.32,3420,180,20,26,86,-60,48.5,3,7.9,25,0,2,2,32.7,30.9,-52.1,-47,24.8,23.9,-7.7,-5.9,-8.8,0.09,341,0.07,0.24,106,31.1,16.3,7
4,2024-2025,Tottenham,eng Premier League,38,11,5,22,38,1,3420,158,17,64,65,-1,54.7,6,15.8,58,3,4,1,58.8,55.7,-4.5,-5.3,44.4,36.3,2.2,2.3,2.6,0.12,493,0.12,0.33,177,35.9,16,13
5,2024-2025,Crystal Palace,eng Premier League,38,13,14,11,53,1.39,3420,148,12,51,51,0,42.8,11,28.9,46,3,4,1,60.4,57.3,11.3,9.7,46.4,36.6,-11.4,-11.3,-8.4,0.11,512,0.09,0.26,175,34.2,16.8,19
6,2024-2025,Bournemouth,eng Premier League,38,15,11,12,56,1.47,3420,162,9,58,46,12,48.5,9,23.7,51,6,7,1,64,58.5,15.5,13.2,43.8,36.5,-7,-7.5,-2.8,0.1,574,0.09,0.27,192,33.4,16.7,10
7,2024-2025,West Ham,eng Premier League,38,11,10,17,43,1.13,3420,172,14,46,62,-16,48.4,7,18.4,40,3,3,0,47,44.7,-12.7,-12.7,33.9,32,-4,-4.7,-4.9,0.1,473,0.08,0.29,137,29,16.3,14
8,2024-2025,Liverpool,eng Premier League,38,25,9,4,84,2.21,3420,165,1,86,41,45,57.7,14,36.8,76,9,9,0,82.2,75.2,43.6,38.4,61.6,54.3,2.8,0.8,3.4,0.12,639,0.12,0.35,215,33.6,15.9,11
9,2024-2025,Aston Villa,eng Premier League,38,19,9,10,66,1.74,3420,170,6,58,51,7,50.5,9,23.7,53,3,6,3,56.1,51.3,5.9,3.5,41.7,36.9,-0.1,1.7,3.3,0.11,478,0.11,0.33,159,33.3,16.3,12
10,2024-2025,Wolves,eng Premier League,38,12,6,20,42,1.11,3420,167,16,54,69,-15,48.1,8,21.1,53,0,0,0,43.7,43.7,-14.5,-7.4,35.4,26.6,9.3,9.3,6.6,0.1,431,0.12,0.34,155,36,18.1,18
11,2024-2025,Leicester City,eng Premier League,38,6,7,25,25,0.66,3420,168,18,33,80,-47,45.4,3,7.9,31,2,3,1,32.6,30.4,-39.3,-38.4,25.1,24.1,0.4,0.6,-0.1,0.09,332,0.09,0.3,105,31.6,17.3,8
12,2024-2025,Newcastle Utd,eng Premier League,38,20,6,12,66,1.74,3420,163,5,68,47,21,51.3,13,34.2,61,5,6,1,63.8,59.5,18.3,15.5,46,42.2,2.2,1.5,4,0.12,519,0.12,0.37,163,31.4,15.9,14
13,2024-2025,Ipswich Town,eng Premier League,38,4,10,24,22,0.58,3420,178,19,36,82,-46,40.6,2,5.3,33,2,2,0,34.4,32.8,-38.3,-35.5,24.2,21.2,0.6,0.2,1.8,0.09,374,0.09,0.28,120,32.1,17.7,10
14,2024-2025,Manchester City,eng Premier League,38,21,8,9,71,1.87,3420,131,3,72,44,28,61.3,13,34.2,68,3,4,1,68.1,64.9,20.4,20.3,54.2,53.8,2.9,3.1,-3.2,0.11,603,0.11,0.33,208,34.5,16.9,21
15,2024-2025,Brentford,eng Premier League,38,16,8,14,56,1.47,3420,142,10,66,57,9,47.9,8,21.1,60,5,6,1,59,54.4,3.6,-0.3,42.4,38.1,6,5.6,1.6,0.13,434,0.14,0.35,173,39.9,14.9,10
16,2024-2025,Chelsea,eng Premier League,38,20,9,9,69,1.82,3420,140,4,64,43,21,57.1,11,28.9,57,4,5,1,67.8,63.8,20.5,21.3,52.7,41.8,-6.8,-6.8,-5.7,0.11,590,0.1,0.28,203,34.4,16.7,17
17,2024-2025,Brighton,eng Premier League,38,16,13,9,61,1.61,3420,184,8,66,59,7,52.3,8,21.1,57,7,7,0,58.7,53.3,4.1,5.6,40.4,39.1,5.3,3.7,0.6,0.1,526,0.11,0.31,183,34.8,17.2,25
18,2024-2025,Everton,eng Premier League,38,11,15,12,48,1.26,3420,130,13,42,44,-2,40.9,12,31.6,37,2,2,0,41.8,40.2,-4.5,-4.4,32.2,27.2,-2.8,-3.2,-5.2,0.1,404,0.09,0.27,139,34.4,16.8,11
19,2024-2025,Nott'ham Forest,eng Premier League,38,19,8,11,65,1.71,3420,167,7,58,46,12,41.2,13,34.2,54,3,3,0,45.5,43.2,-3.4,-3.4,33,29.9,11.5,10.8,9,0.1,460,0.12,0.33,162,35.2,17.5,15
20,2024-2025,Fulham,eng Premier League,38,15,9,14,54,1.42,3420,179,11,54,54,0,52.3,5,13.2,50,3,4,1,49,45.9,1.8,1.8,37.5,35,4,4.1,6.5,0.09,516,0.1,0.3,167,32.4,16.4,10
21,2023-2024,Arsenal,eng Premier League,38,28,5,5,89,2.34,3420,154,2,91,29,62,58.2,18,47.4,76,10,10,0,76.1,68.5,48.2,42.8,55.3,57.8,9.9,7.5,6.7,0.11,647,0.12,0.36,209,32.3,15.8,6
22,2023-2024,Manchester Utd,eng Premier League,38,18,6,14,60,1.58,3420,153,8,57,58,-1,50.6,9,23.7,51,6,7,1,56.5,51,-12.5,-12.4,40.1,34.6,0.5,0,-4.1,0.1,543,0.09,0.28,182,33.5,17.4,15
23,2023-2024,Sheffield Utd,eng Premier League,38,3,7,28,16,0.42,3420,152,20,35,104,-69,35.8,1,2.6,26,5,5,0,38.3,34.5,-38.3,-36.7,25.8,21,-7.3,-8.5,-7.8,0.1,360,0.07,0.22,117,32.5,17.4,8
24,2023-2024,Tottenham,eng Premier League,38,20,6,12,66,1.74,3420,170,5,74,61,13,61.6,7,18.4,67,2,2,0,68.2,66.7,4.8,8.3,57.4,52.1,0.8,0.3,0.6,0.12,582,0.12,0.32,207,35.6,16.5,11
25,2023-2024,Crystal Palace,eng Premier League,38,13,10,15,49,1.29,3420,126,10,57,58,-1,42.3,10,26.3,52,4,4,0,48.6,45.4,-3.4,-4.2,38.7,31.5,7.4,6.6,4.3,0.1,452,0.12,0.32,162,35.8,17.2,20
26,2023-2024,Bournemouth,eng Premier League,38,13,9,16,48,1.26,3420,170,12,54,67,-13,44.4,9,23.7,50,2,3,1,55.9,53.6,-2.2,1.1,40.5,33.7,-3.9,-3.6,-1.5,0.1,539,0.09,0.29,175,32.5,16.7,18
